Beat_Number,Time_seconds,Time_mm:ss.ms
1,0.3375,00:00.338
2,1.2973,00:01.297
3,2.2563,00:02.256
4,3.2155,00:03.216
5,4.2168,00:04.217
6,5.1757,00:05.176
7,6.1355,00:06.136
8,7.0945,00:07.095
9,8.0540,00:08.054
10,9.0542,00:09.054
11,10.0152,00:10.015
12,10.9740,00:10.974
13,11.9330,00:11.933
14,12.8912,00:12.891
15,13.8927,00:13.893
16,14.8522,00:14.852
17,15.8127,00:15.813
18,16.7705,00:16.770
19,17.7300,00:17.730
20,18.7308,00:18.731
21,19.6905,00:19.691
22,20.6500,00:20.650
23,21.6090,00:21.609
24,22.5688,00:22.569
25,23.5695,00:23.570
26,24.5293,00:24.529
27,25.4885,00:25.488
28,26.4473,00:26.447
29,27.4060,00:27.406
30,28.4078,00:28.408
31,29.3663,00:29.366
32,30.3255,00:30.326
33,31.2847,00:31.285
34,32.2443,00:32.244
35,33.2460,00:33.246
36,34.2052,00:34.205
37,35.1647,00:35.165
38,36.1235,00:36.123
39,37.0832,00:37.083
40,38.0840,00:38.084
41,39.0457,00:39.046
42,40.0035,00:40.004
43,40.9612,00:40.961
44,41.9215,00:41.922
45,42.9228,00:42.923
46,43.8825,00:43.883
47,44.8407,00:44.841
48,45.7995,00:45.800
49,46.7587,00:46.759
50,47.7602,00:47.760
51,48.7203,00:48.720
52,49.6795,00:49.679
53,50.6380,00:50.638
54,51.5973,00:51.597
55,52.5990,00:52.599
56,53.5577,00:53.558
57,54.5187,00:54.519
58,55.4755,00:55.475
59,56.4348,00:56.435
60,57.4368,00:57.437
61,58.3960,00:58.396
62,59.3555,00:59.355
63,60.3143,01:00.314
64,61.2737,01:01.274
65,62.2745,01:02.275
66,63.2340,01:03.234
67,64.1940,01:04.194
68,65.1530,01:05.153
69,66.1120,01:06.112
70,67.1125,01:07.112
71,68.0722,01:08.072
72,69.0323,01:09.032
73,69.9905,01:09.990
74,70.9497,01:10.950
75,71.9505,01:11.951
76,72.9098,01:12.910
77,73.8695,01:13.870
78,74.8287,01:14.829
79,75.7878,01:15.788
80,76.7890,01:16.789
81,77.7485,01:17.749
82,78.7087,01:18.709
83,79.6665,01:19.666
84,80.6257,01:20.626
85,81.6275,01:21.627
86,82.5872,01:22.587
87,83.5465,01:23.546
88,84.5050,01:24.505
89,85.4640,01:25.464
90,86.4655,01:26.466
91,87.4255,01:27.425
92,88.3840,01:28.384
93,89.3427,01:29.343
94,90.3023,01:30.302
95,91.3042,01:31.304
96,92.2632,01:32.263
97,93.2223,01:33.222
98,94.1810,01:34.181
99,95.1400,01:35.140
100,96.1410,01:36.141
101,97.1012,01:37.101
102,98.0607,01:38.061
103,99.0190,01:39.019
104,99.9780,01:39.978
105,100.9795,01:40.980
106,101.9390,01:41.939
107,102.8990,01:42.899
108,103.8577,01:43.858
109,104.8162,01:44.816
110,105.8178,01:45.818
111,106.7775,01:46.778
112,107.7365,01:47.737
113,108.6953,01:48.695
114,109.6552,01:49.655
115,110.6562,01:50.656
116,111.6150,01:51.615
117,112.5752,01:52.575
118,113.5335,01:53.534
119,114.4933,01:54.493
120,115.4940,01:55.494
121,116.4543,01:56.454
122,117.4137,01:57.414
123,118.3720,01:58.372
124,119.3312,01:59.331
125,120.3323,02:00.332
126,121.2917,02:01.292
127,122.2518,02:02.252
128,123.2097,02:03.210
