Window_Start_s,Window_End_s,Beats_Count,Est_BPM
0.0,10.0,10,60
10.0,20.0,11,66
20.0,30.0,10,60
30.0,40.0,10,60
40.0,50.0,11,66
50.0,60.0,10,60
60.0,70.0,11,66
70.0,80.0,10,60
80.0,90.0,10,60
90.0,100.0,11,66
100.0,110.0,10,60
110.0,120.0,10,60
120.0,130.0,10,60
130.0,140.0,11,66
140.0,150.0,10,60
150.0,160.0,11,66
160.0,170.0,10,60
170.0,180.0,10,60
180.0,190.0,11,66
190.0,200.0,10,60
200.0,210.0,10,60
210.0,220.0,11,66
220.0,230.0,10,60
230.0,240.0,10,60
240.0,250.0,11,66
250.0,260.0,10,60
260.0,270.0,10,60
270.0,280.0,11,66
280.0,290.0,10,60
290.0,300.0,10,60
300.0,310.0,11,66
310.0,320.0,10,60
320.0,330.0,10,60
330.0,340.0,11,66
340.0,350.0,10,60
350.0,360.0,10,60
360.0,370.0,11,66
370.0,380.0,10,60
380.0,390.0,10,60
390.0,400.0,11,66
400.0,410.0,10,60
410.0,420.0,10,60
420.0,430.0,11,66
430.0,440.0,10,60
440.0,450.0,10,60
450.0,460.0,11,66
460.0,470.0,10,60
470.0,480.0,10,60
480.0,490.0,11,66
490.0,500.0,10,60
500.0,510.0,10,60
510.0,520.0,11,66
520.0,530.0,10,60
530.0,540.0,10,60
540.0,550.0,11,66
550.0,560.0,10,60
560.0,570.0,10,60
570.0,580.0,11,66
580.0,590.0,10,60
590.0,600.0,10,60
600.0,610.0,11,66
610.0,620.0,10,60
620.0,630.0,10,60
630.0,640.0,11,66
640.0,650.0,10,60
650.0,660.0,10,60
660.0,670.0,11,66
670.0,680.0,10,60
680.0,690.0,10,60
690.0,700.0,11,66
700.0,710.0,10,60
710.0,720.0,10,60
720.0,730.0,11,66
730.0,740.0,10,60
740.0,750.0,10,60
750.0,760.0,11,66
760.0,770.0,10,60
770.0,780.0,10,60
780.0,790.0,11,66
790.0,800.0,10,60
800.0,810.0,10,60
810.0,820.0,11,66
820.0,830.0,10,60
830.0,840.0,10,60
840.0,850.0,11,66
850.0,860.0,10,60
860.0,870.0,10,60
870.0,880.0,11,66
880.0,890.0,10,60
890.0,900.0,10,60
900.0,910.0,11,66
910.0,920.0,10,60
920.0,930.0,10,60
930.0,940.0,11,66
940.0,950.0,10,60
950.0,960.0,10,60
960.0,970.0,11,66
970.0,980.0,10,60
980.0,990.0,10,60
990.0,1000.0,11,66
1000.0,1010.0,10,60
1010.0,1020.0,10,60
1020.0,1030.0,11,66
1030.0,1040.0,10,60
1040.0,1050.0,10,60
1050.0,1060.0,11,66
1060.0,1070.0,10,60
1070.0,1080.0,10,60
1080.0,1090.0,11,66
1090.0,1100.0,10,60
1100.0,1110.0,10,60
1110.0,1120.0,11,66
1120.0,1130.0,10,60
1130.0,1140.0,10,60
1140.0,1150.0,11,66
1150.0,1160.0,10,60
1160.0,1170.0,10,60
1170.0,1180.0,11,66
1180.0,1190.0,10,60
1190.0,1200.0,10,60
1200.0,1210.0,11,66
1210.0,1220.0,10,60
1220.0,1230.0,10,60
1230.0,1240.0,11,66
1240.0,1250.0,10,60
1250.0,1260.0,10,60
1260.0,1270.0,0,0
