frame,video_time_s,time_min,phone_clock,speed_kmh,calc_speed_kmh,distance_remaining_km,dist_covered_integrated_km,acceleration_ms2,jerk_ms3,time_to_10km_min
1,0,0.0000,08:46,56,54.1071,19.0000,0.0000,-0.1118,-0.0075,10.7143
2,10,0.1667,08:46,44,51.1964,19.0000,0.1389,-0.1194,-0.0054,13.6364
3,20,0.3333,08:46,45,45.3750,18.0000,0.2625,-0.1346,-0.0013,13.3333
4,30,0.5000,08:46,51,39.5655,18.0000,0.3958,-0.1703,0.0026,11.7647
5,40,0.6667,08:46,33,33.4167,18.0000,0.5125,-0.1806,0.0078,18.1818
6,50,0.8333,08:47,18,29.0000,18.0000,0.5833,-0.0648,0.0105,33.3333
7,60,1.0000,08:47,27,30.2500,18.0000,0.6458,0.1343,0.0048,22.2222
8,70,1.1667,08:47,39,35.6429,18.0000,0.7375,0.1653,-0.0053,15.3846
9,80,1.3333,08:47,47,37.8452,18.0000,0.8569,-0.0430,-0.0111,12.7660
10,90,1.5000,08:47,36,33.2500,18.0000,0.9722,-0.2123,-0.0061,16.6667
11,100,1.6667,08:47,19,26.0238,18.0000,1.0486,-0.1892,0.0065,31.5789
12,110,1.8333,08:48,17,22.2143,17.0000,1.0986,-0.0225,0.0138,35.2941
13,120,2.0000,08:48,26,24.9286,17.0000,1.1583,0.1733,0.0096,23.0769
14,130,2.1667,08:48,33,32.3095,17.0000,1.2403,0.2368,0.0009,18.1818
15,140,2.3333,08:48,39,38.7143,17.0000,1.3403,0.1190,-0.0052,15.3846
16,150,2.5000,08:48,46,41.3095,17.0000,1.4583,0.0251,-0.0060,13.0435
17,160,2.6667,08:48,43,42.5595,17.0000,1.5819,0.0443,-0.0023,13.9535
18,170,2.8333,08:49,35,43.7976,17.0000,1.6903,0.0245,0.0001,17.1429
19,180,3.0000,08:49,50,44.6905,17.0000,1.8083,0.0251,-0.0011,12.0000
20,190,3.1667,08:49,50,45.6071,16.0000,1.9472,0.0258,-0.0021,12.0000
21,200,3.3333,08:49,40,45.4286,16.0000,2.0722,-0.0357,-0.0039,15.0000
22,210,3.5000,08:49,46,43.6667,16.0000,2.1917,-0.0622,-0.0068,13.0435
23,220,3.6667,08:50,38,40.6190,16.0000,2.3083,-0.1071,-0.0066,15.7895
24,230,3.8333,08:50,43,34.6071,16.0000,2.4208,-0.2269,-0.0012,13.9535
25,240,4.0000,08:50,26,26.4048,16.0000,2.5167,-0.2288,0.0076,23.0769
26,250,4.1667,08:50,14,20.8810,16.0000,2.5722,-0.0780,0.0137,42.8571
27,260,4.3333,08:50,15,22.1190,16.0000,2.6125,0.1468,0.0118,40.0000
28,270,4.5000,08:51,32,29.1429,16.0000,2.6778,0.2434,0.0032,18.7500
29,280,4.6667,08:51,42,36.1071,16.0000,2.7806,0.1435,-0.0059,14.2857
30,290,4.8333,08:51,45,39.7857,15.0000,2.9014,0.0608,-0.0085,13.3333
31,300,5.0000,08:51,30,40.6190,15.0000,3.0056,-0.0146,-0.0029,20.0000
32,310,5.1667,08:51,43,39.8095,15.0000,3.1069,-0.0304,0.0039,13.9535
